,Open,High,Low,Close,Volume,Number of trades
18612,6280.77,6290.93,6257.87,6265.01,667.923818,3643
18613,6266.99,6293.97,6264.99,6276.79,465.472156,3132
18614,6276.79,6303.29,6272.31,6298.34,781.459887,3285
18615,6298.33,6298.34,6284.7,6288.01,1170.884243,2793
18616,6290.0,6300.01,6281.72,6290.27,588.05256,2815
18617,6291.99,6292.89,6169.68,6204.15,1906.222068,9284
18618,6204.09,6255.0,6187.5,6240.17,1103.033949,6158
18619,6238.87,6258.49,6219.41,6250.63,640.617297,4385
18620,6250.6,6274.73,6244.52,6256.07,710.083718,4562
18621,6256.07,6267.55,6234.47,6257.74,474.880777,3838
18622,6257.0,6260.76,6224.51,6247.95,890.617185,3798
18623,6245.06,6253.97,6225.49,6244.0,403.583473,3483
18624,6243.67,6250.0,6186.7,6220.62,851.809832,5410
18625,6220.6,6252.11,6217.18,6243.25,928.412859,4381
18626,6243.63,6262.48,6233.0,6250.01,531.203225,3444
18627,6250.01,6288.0,6247.63,6268.0,580.676909,4128
18628,6269.23,6271.11,6246.47,6256.51,611.394061,2743
18629,6256.52,6274.99,6250.82,6259.77,628.885506,2712
18630,6259.42,6262.44,6242.09,6251.42,586.37759,3400
18631,6252.21,6320.01,6251.19,6316.63,891.11865,5492
18632,6318.06,6323.41,6292.0,6319.17,607.323153,4120
18633,6316.52,6319.18,6296.76,6300.04,413.919734,3056
18634,6300.06,6310.84,6289.0,6297.97,529.619787,2726
18635,6296.83,6297.98,6272.0,6294.91,822.185209,2940
18636,6293.0,6300.0,6285.0,6294.16,655.915154,2596
18637,6294.17,6300.59,6259.54,6259.64,539.324731,3003
18638,6261.46,6281.62,6253.17,6275.55,478.562707,2310
18639,6275.55,6281.99,6260.86,6266.79,570.243474,2807
18640,6266.79,6279.0,6243.0,6243.92,662.425128,2934
18641,6244.95,6271.81,6231.5,6256.0,591.473103,3141
18642,6255.99,6259.53,6235.0,6250.48,405.083346,3717
18643,6250.48,6268.61,6218.0,6260.97,688.450464,3946
18644,6261.95,6290.0,6252.38,6284.93,649.206618,3524
18645,6284.92,6290.0,6271.03,6272.15,711.833303,2621
18646,6272.14,6290.0,6270.04,6290.0,647.276428,2776
18647,6290.0,6305.05,6271.58,6278.5,815.353436,3971
18648,6276.45,6285.0,6253.46,6265.19,240.672098,1755
18649,6267.47,6272.59,6248.0,6253.69,281.82845,2288
18650,6255.08,6266.99,6230.27,6259.5,940.358467,5630
18651,6256.99,6263.64,6232.0,6244.94,510.207066,2917
18652,6245.0,6253.15,6192.37,6236.21,1208.758773,6234
18653,6234.86,6249.08,6220.0,6249.0,650.953738,4040
18654,6249.04,6265.11,6240.0,6250.03,665.716488,3497
18655,6250.11,6261.65,6238.15,6254.22,649.336226,3157
18656,6256.22,6278.22,6244.99,6257.83,730.148946,3369
18657,6259.19,6267.44,6240.0,6243.95,470.685298,3040
18658,6242.99,6247.04,6227.0,6232.42,583.33218,3203
18659,6234.0,6260.0,6225.0,6243.74,343.83336,2916
18660,6243.76,6288.0,6243.76,6259.94,754.873531,3831
18661,6256.81,6270.74,6245.81,6252.49,465.131386,2731
18662,6252.49,6280.0,6250.17,6267.82,716.24823,3256
18663,6267.84,6297.24,6261.59,6295.53,759.552686,3648
18664,6297.88,6299.0,6263.47,6281.96,548.987669,3296
18665,6281.96,6295.61,6275.0,6282.99,586.331894,3266
18666,6283.0,6292.77,6265.0,6270.0,518.881095,3330
18667,6269.21,6273.85,6257.11,6269.39,749.075798,3021
18668,6269.39,6278.97,6264.0,6276.89,694.685642,3189
18669,6278.96,6285.0,6261.6,6271.3,729.182375,2709
18670,6271.64,6288.0,6267.44,6278.99,443.464872,2727
18671,6276.19,6318.99,6269.97,6291.0,1173.132863,5305
18672,6290.52,6315.0,6283.0,6307.04,587.238233,3945
18673,6307.08,6360.0,6301.0,6315.65,1359.275563,7535
18674,6316.07,6337.99,6314.0,6322.61,665.653523,4467
18675,6322.61,6325.65,6292.51,6312.77,781.65564,4211
18676,6313.86,6317.07,6297.0,6310.63,590.321729,3233
18677,6309.01,6322.0,6301.0,6319.03,964.365506,2819
18678,6319.04,6345.0,6312.0,6338.01,737.376325,4031
18679,6338.01,6338.94,6303.44,6312.99,443.66245,3130
18680,6313.0,6334.17,6303.56,6326.0,632.617911,2956
18681,6326.0,6350.0,6320.0,6350.0,595.605498,3166
18682,6350.0,6353.48,6321.93,6331.01,650.17682,3395
18683,6332.0,6349.0,6331.01,6338.62,595.169718,3001
18684,6338.62,6439.0,6337.4,6412.22,2093.570558,9776
18685,6415.81,6422.05,6395.57,6413.94,680.2107,4796
18686,6414.0,6424.85,6387.64,6397.95,998.341711,4293
18687,6397.95,6411.58,6385.0,6400.05,565.473798,3857
18688,6399.54,6406.75,6380.0,6395.02,590.766042,3005
18689,6395.02,6401.8,6392.05,6400.0,652.418367,2685
18690,6400.0,6412.0,6385.0,6387.0,872.673685,3411
18691,6387.02,6393.45,6380.0,6388.0,425.059944,2792
18692,6388.02,6414.61,6384.88,6403.68,598.37865,3785
18693,6404.37,6414.88,6392.35,6399.17,711.148155,3458
18694,6396.68,6407.07,6387.0,6392.06,425.489909,3356
18695,6393.16,6394.27,6368.46,6376.37,484.522715,4105
18696,6377.0,6393.63,6372.0,6379.96,379.508714,3181
18697,6382.0,6392.0,6375.0,6390.71,443.34434,2503
18698,6390.7,6400.0,6384.58,6385.68,742.359603,2962
18699,6389.84,6391.87,6380.95,6385.01,670.684968,2741
18700,6385.01,6402.49,6383.12,6400.03,838.311379,3117
18701,6401.0,6437.41,6398.16,6419.66,1104.27783,5194
18702,6422.34,6436.86,6412.02,6426.08,713.432329,4463
18703,6429.29,6488.48,6425.0,6439.59,1422.746516,7803
18704,6445.98,6476.78,6439.65,6460.32,727.835467,5474
18705,6460.7,6461.76,6430.54,6445.88,608.80291,4399
18706,6445.88,6456.54,6423.07,6452.99,878.283806,3751
18707,6449.17,6468.88,6446.65,6468.0,689.889722,4120
